Reskontradatum,Transaktionsdatum,Text,Belopp,Saldo
7/16/2023,7/16/2023,Ul30,"-640,00","3 418,00"
7/12/2023,7/12/2023,Spel,"-1 000,00","4 058,00"
7/7/2023,7/7/2023,Mat,"-500,00","5 058,00"
6/30/2023,6/30/2023,Studiestöd,"250,00","5 558,00"
6/22/2023,6/22/2023,Tbx,"-250,00","5 308,00"
6/22/2023,6/22/2023,GabrielMånPeng,"1 250,00","5 558,00"
6/21/2023,6/21/2023,GabrielsSoffa,"-7 500,00","4 308,00"
6/16/2023,6/16/2023,Busskort,"-700,00","11 808,00"
6/15/2023,6/15/2023,MöblerTillbaks,"3 000,00","12 508,00"
6/14/2023,6/14/2023,MQ,"-4 000,00","9 508,00"
6/14/2023,6/14/2023,Lunch,"-100,00","13 508,00"
6/13/2023,6/13/2023,Möbler,"9 000,00","13 608,00"
6/10/2023,6/10/2023,Mat,"-1 000,00","4 608,00"
5/31/2023,5/31/2023,StudiestödJuni,"1 250,00","5 608,00"
5/30/2023,5/30/2023,Stövlar,"-500,00","4 358,00"
5/18/2023,5/18/2023,Solbrillor,"-150,00","4 858,00"
5/11/2023,5/11/2023,Överf Mobil,"-160,00","5 008,00"
4/25/2023,4/25/2023,MånPengMajGabr,"1 000,00","5 168,00"
4/8/2023,4/8/2023,Jbl,"-1 500,00","4 168,00"
3/31/2023,3/31/2023,Studiestöd,"250,00","5 668,00"
3/24/2023,3/24/2023,MånPengStudieG,"1 000,00","5 418,00"
2/28/2023,2/28/2023,Studiestöd,"250,00","4 418,00"
2/27/2023,2/27/2023,MånPengMarsGab,"1 000,00","4 168,00"
2/18/2023,2/18/2023,Ica,"-700,00","3 168,00"
2/10/2023,2/10/2023,Ul30,"-1 000,00","3 868,00"
1/25/2023,1/25/2023,MånPengGabriFe,"1 500,00","4 868,00"
1/15/2023,1/15/2023,Ul30 Gabriel,"-640,00","3 368,00"
1/11/2023,1/11/2023,ChrisMat,"-1 000,00","4 008,00"
12/31/2022,12/31/2022,INLÅNINGSRÄNTA,"8,00","5 008,00"
12/24/2022,12/24/2022,Julklapp,"2 410,00","5 000,00"
12/24/2022,12/24/2022,julklapp,"1 000,00","2 590,00"
12/18/2022,12/18/2022,Kör,"-420,00","1 590,00"
12/16/2022,12/16/2022,Kroppsvård,"-1 000,00","2 010,00"
12/15/2022,12/15/2022,MatExtraLån,"-1 000,00","3 010,00"
12/14/2022,12/14/2022,Chris Mat,"-1 000,00","4 010,00"
11/10/2022,11/10/2022,MatExtra etc,"-1 000,00","5 010,00"
11/3/2022,11/3/2022,GodOfWar,"-1 000,00","6 010,00"
10/31/2022,10/31/2022,Studiebidrag,"1 000,00","7 010,00"
10/25/2022,10/25/2022,TillbakaSpar,"2 000,00","6 010,00"
10/22/2022,10/22/2022,Badminton,"-1 000,00","4 010,00"
10/22/2022,10/22/2022,MatExtra,"-250,00","5 010,00"
10/17/2022,10/17/2022,Mat,"-120,00","5 260,00"
10/17/2022,10/17/2022,Ul30,"-620,00","5 380,00"
10/12/2022,10/12/2022,Mat,"-1 000,00","6 000,00"
9/23/2022,9/23/2022,MånPengOktGabr,"1 000,00","7 000,00"
9/17/2022,9/17/2022,Överf Mobil,"-55,00","6 000,00"
8/25/2022,8/25/2022,MånPengSeptemb,"1 000,00","6 055,00"
8/20/2022,8/20/2022,DatorGabriel,"-31 245,00","5 055,00"
8/14/2022,8/14/2022,FarmorPeter,"1 200,00","36 300,00"
8/12/2022,8/12/2022,GrattisFrMorfa,"1 600,00","35 100,00"
8/12/2022,8/12/2022,Grattis,"500,00","33 500,00"
7/25/2022,7/25/2022,MånPengPlusExt,"2 000,00","33 000,00"
7/10/2022,7/10/2022,MatBindor,"-1 000,00","31 000,00"
6/23/2022,6/23/2022,MånPengLånTbxG,"2 000,00","32 000,00"
6/22/2022,6/22/2022,KläderMm,"-1 000,00","30 000,00"
6/10/2022,6/10/2022,Tillbaka,"200,00","31 000,00"
6/10/2022,6/10/2022,Sommar,"-1 200,00","30 800,00"
6/7/2022,6/7/2022,LiteExtraExame,"-200,00","32 000,00"
6/7/2022,6/7/2022,KostymSkor mm,"-1 000,00","32 200,00"
6/6/2022,6/6/2022,Kostym,"-1 000,00","33 200,00"
5/25/2022,5/25/2022,MånPengJuniGab,"1 000,00","34 200,00"
5/22/2022,5/22/2022,Överf Mobil,"-57,00","33 200,00"
4/25/2022,4/25/2022,MånPengMajGabr,"1 000,00","33 257,00"
4/7/2022,4/7/2022,Mat,"185,00","32 257,00"
3/31/2022,3/31/2022,ExtraMat,"-200,00","32 072,00"
3/31/2022,3/31/2022,DatorpengarTbx,"6 000,00","32 272,00"
3/31/2022,3/31/2022,DatorpengarTbx,"6 000,00","26 272,00"
3/28/2022,3/28/2022,DatorpengarTbx,"5 000,00","20 272,00"
3/26/2022,3/26/2022,MånPengAprilGa,"1 000,00","15 272,00"
3/2/2022,3/2/2022,DatorpengarTbx,"3 000,00","14 272,00"
1/25/2022,1/25/2022,MånPengFebGabr,"1 000,00","11 272,00"
1/17/2022,1/17/2022,Lunch,"-500,00","10 272,00"
1/8/2022,1/8/2022,GabrielKläder,"-300,00","10 772,00"
